regime,model,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_h_ft,B0_MAE_h_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,RMSE_skill_vs_persistence,MAE_skill_vs_persistence,median_well_RMSE_ft,well_RMSE_IQR_ft,median_well_MAE_ft,well_MAE_IQR_ft,median_well_RMSE_improvement_ft_vs_B0,fraction_wells_RMSE_improved_vs_B0,n_eligible_wells
T1_TEMPORAL_OOS,B0,1217,144,7.391191454,14.15060383,-1.457304848,7.391191454,14.15060383,-1.457304848,,0.9736339257,-0.01071967441,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0,0,7.38468765,10.01450882,5.5825,8.506222527,0,0,144
T1_TEMPORAL_OOS,B1,1217,144,7.024719934,13.15690097,-2.418255538,7.024719934,13.15690097,-2.418255538,0.7285714286,0.9772069345,0.1262483939,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.07022335343,0.04958219837,6.354120448,6.402647709,5.305556135,5.003821341,1.295365939,0.6527777778,144
T1_TEMPORAL_OOS,B2,1217,144,7.374025397,13.21735316,-3.052729055,7.374025397,13.21735316,-3.052729055,0.7428571429,0.9769969981,0.1182006714,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.06595129624,0.002322502005,7.396902633,5.939933209,6.089518078,5.208435768,1.236006135,0.6111111111,144
T1_TEMPORAL_OOS,B3,1217,144,7.539528578,13.31668964,-3.327014452,7.539528578,13.31668964,-3.327014452,0.7352941176,0.9766499356,0.1048963434,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.05893135026,-0.02006944677,7.673475102,5.879158139,6.242061168,5.139656745,1.092255789,0.6180555556,144
T2_SPATIOTEMPORAL_OOS,B0,1241,149,7.710410959,15.64783329,-1.382336825,7.710410959,15.64783329,-1.382336825,,0.9688445804,-0.00786541929,6.99,15.64783329,7.710410959,15.64783329,7.710410959,0,0,7.4,10.2023986,6.146666667,8.338095238,0,0,149
T2_SPATIOTEMPORAL_OOS,B1,1241,149,7.580561286,14.97389538,-2.470281438,7.580561286,14.97389538,-2.470281438,0.7116968699,0.9714704597,0.07708073239,6.99,15.64783329,7.710410959,15.64783329,7.710410959,0.04306908752,0.01684082383,6.785869874,6.087004143,5.704307277,4.536624716,0.9511031379,0.644295302,149
T2_SPATIOTEMPORAL_OOS,B2,1241,149,8.782850261,15.74432261,-3.727907175,8.782850261,15.74432261,-3.727907175,0.7314662273,0.9684591681,-0.02033335435,6.99,15.64783329,7.710410959,15.64783329,7.710410959,-0.006166305751,-0.139089772,7.960986336,8.08640636,6.630033118,6.703377699,0.9673757604,0.6040268456,149
T2_SPATIOTEMPORAL_OOS,B3,1241,149,8.846776317,15.7982289,-3.948695185,8.846776317,15.7982289,-3.948695185,0.7298187809,0.9682428158,-0.02733226429,6.99,15.64783329,7.710410959,15.64783329,7.710410959,-0.009611274213,-0.1473806473,8.273918914,8.412849274,6.643414435,7.01651428,1.118397289,0.6040268456,149
