model,mean_T1_T2_RMSE_skill,mean_T1_T2_MAE_skill,ranking_data_split
B1,0.05664622048,0.0332115111,TEST_ONLY
B2,0.02989249524,-0.06838363499,TEST_ONLY
B3,0.02466003802,-0.08372504705,TEST_ONLY
B0,0,0,TEST_ONLY
