fit_id,regime,gap_threshold_days,held_out_spatial_fold,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,training_independence_classes,validation_used,test_used,hyperparameter_search
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,log1p_antecedent_30d_mean_discharge_cfs,3.72580290680726,5.722126332618796,0.7729375702396475,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B1,T2_SPATIOTEMPORAL_OOS,90,1,B1,delta_h,INTERCEPT,0.020926375404530836,0.0,1.0,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B1,T2_SPATIOTEMPORAL_OOS,90,1,B1,delta_h,delta_days,-0.733279014442964,33.28177912059511,20.106330768553768,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B1,T2_SPATIOTEMPORAL_OOS,90,1,B1,delta_h,season_sin,0.14100926548310444,-0.015210657110465214,0.7113014634904877,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B1,T2_SPATIOTEMPORAL_OOS,90,1,B1,delta_h,season_cos,3.824745439654528,-0.015691137865843165,0.7025472597192542,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B1,T2_SPATIOTEMPORAL_OOS,90,1,B1,delta_h,time_trend_years,-0.5143047676085194,2.6807793107582474,1.4075531495559217,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,INTERCEPT,43.97367738673142,0.0,1.0,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,h_prev,83.62857824852516,43.95275101132686,85.70188796961199,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,delta_days,-0.573637294630207,33.28177912059511,20.106330768553768,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,season_sin,0.3604990949821826,-0.015210657110465214,0.7113014634904877,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
