regime,comparison_model,reference_model,difference_direction,n_wells,n_transitions,bootstrap_resamples,resampling_unit,seed,MAE_improvement_ft,MAE_improvement_ci95_low_ft,MAE_improvement_ci95_high_ft,RMSE_improvement_ft,RMSE_improvement_ci95_low_ft,RMSE_improvement_ci95_high_ft,MAE_skill_vs_reference,MAE_skill_ci95_low,MAE_skill_ci95_high,RMSE_skill_vs_reference,RMSE_skill_ci95_low,RMSE_skill_ci95_high
T1_TEMPORAL_OOS,B3,B2,positive_means_comparison_model_has_lower_error,144,1217,1000,well,20261005,-0.1655031804,-0.2292840484,-0.1041953307,-0.09933647446,-0.1872126061,-0.01426468118,-0.02244407518,-0.03287022925,-0.01388117607,-0.007515610217,-0.01744664894,-0.0009678643808
T2_SPATIOTEMPORAL_OOS,B3,B2,positive_means_comparison_model_has_lower_error,149,1241,1000,well,20261006,-0.06392605621,-0.1325083862,0.00947966613,-0.05390629216,-0.1150588523,0.005443487092,-0.007278509175,-0.01584483625,0.001058505291,-0.003423855919,-0.008810055724,0.0003548117407
