huc12_id,year_month,sui_frac,availab_mm/mo,strflow_mm/mo,consum_mm/mo
170703050102,2009-10,0.0790042627606855,3.60033623846804,3.61671621711414,0.0163799786461002
170703050102,2009-11,0.101882171428178,3.26150927589868,3.26150927589868,0.0
170703050102,2009-12,0.293427192525633,3.21862443484435,3.21862443484435,0.0
170703050102,2010-01,0.0594398242313137,4.27776504922236,4.27776504922236,0.0
170703050102,2010-02,0.0,5.24413729102815,5.24413729102815,0.0
170703050102,2010-03,0.104909316429981,6.74663969760393,6.74663969760394,0.0
170703050102,2010-04,0.0563161474503682,9.47644732148921,9.47689000983577,0.00044268834655807
170703050102,2010-05,0.0,9.25698254187642,9.28155067675617,0.0245681348797509
170703050102,2010-06,0.0747320376682731,7.12925468944528,7.79139966583629,0.662144976391017
170703050102,2010-07,0.292686007439869,4.18142395252791,5.91169409415075,1.73027014162284
170703050102,2010-08,0.282458959033438,3.31031156447076,4.61341076743375,1.30309920296299
170703050102,2010-09,0.103291398674299,3.34601240260342,3.73143783572127,0.38542543311785
170703050102,2010-10,0.0,3.9654134815906,4.02073285337453,0.0553193717839394
170703050102,2010-11,0.0,4.36384103739248,4.36443234621696,0.00059130882447712
170703050102,2010-12,0.0,4.87331220814455,4.87331220814455,0.0
170703050102,2011-01,0.0,5.8338871703385,5.8338871703385,0.0
170703050102,2011-02,0.0,7.0350351312237,7.0350351312237,0.0
170703050102,2011-03,0.0,11.0174978294277,11.0174978294277,0.0
170703050102,2011-04,0.0,15.7327633344592,15.7327633344592,0.0
170703050102,2011-05,0.0,17.7042624467111,17.7042624467111,0.0
170703050102,2011-06,0.0,13.3738388632936,13.7119598567179,0.338120993424249
170703050102,2011-07,0.0,8.81170618684768,10.331467245984,1.51976105913635
170703050102,2011-08,0.0,6.42814195333571,7.80958557096861,1.38144361763289
170703050102,2011-09,0.0,5.35261039720197,5.94939374205597,0.596783344853998
170703050102,2011-10,0.0,5.09409607112088,5.11623911394747,0.0221430428265861
170703050102,2011-11,0.0,4.269009669744,4.26905101129542,4.13415514256386e-05
170703050102,2011-12,0.124312283733367,3.98898719431837,3.98898719431837,0.0
170703050102,2012-01,0.0,4.55693971716795,4.55693971716795,0.0
170703050102,2012-02,0.0586974472749325,4.85821636081588,4.85821636081588,0.0
170703050102,2012-03,0.201687320712601,6.0171869867972,6.0171869867972,0.0
170703050102,2012-04,0.0,10.136346437966,10.136346437966,0.0
170703050102,2012-05,0.000582186535146745,9.14155776984569,9.14688296194469,0.00532519209900764
170703050102,2012-06,0.0473526515968548,7.34021478369937,7.70507029280378,0.364855509104414
170703050102,2012-07,0.298223306183582,4.14868913624715,5.99630026447589,1.84761112822873
170703050102,2012-08,0.313849878569303,3.16549235828435,4.72738906841631,1.56189671013196
170703050102,2012-09,0.226811017523935,2.88510662337402,3.72815827459357,0.843051651219551
170703050102,2012-10,0.100890611721614,3.51477860545664,3.55781985428431,0.0430412488276701
170703050102,2012-11,0.0,3.75758231596167,3.75758231596167,0.0
170703050102,2012-12,0.0,5.79973407015214,5.79973407015213,0.0
170703050102,2013-01,0.0,4.70226436265393,4.70226436265393,0.0
170703050102,2013-02,0.239058197692978,3.92734504213806,3.92734504213806,0.0
170703050102,2013-03,0.180899363998363,6.17387374108334,6.17387374108334,0.0
170703050102,2013-04,0.0429132771715761,9.61103857661196,9.61103857661196,0.0
170703050102,2013-05,0.148159970070937,7.7916810560606,7.7916810560606,0.0
170703050102,2013-06,0.247285390568342,5.79971897609127,6.07631516032314,0.276596184231872
170703050102,2013-07,0.443807395140897,3.28804053735588,5.03419637445886,1.74615583710297
170703050102,2013-08,0.312274432058324,3.17276054018162,4.23661519297417,1.06385465279255
170703050102,2013-09,0.166849053706267,3.10885096386741,3.74182497251247,0.63297400864506
170703050102,2013-10,0.000213935906378526,3.9083416477706,3.90917796130094,0.000836313530345949
170703050102,2013-11,0.00520842171665881,3.61257939319211,3.61257939319211,0.0
170703050102,2013-12,0.248114791747309,3.42503430344358,3.42503430344358,0.0
170703050102,2014-01,0.215542438244455,3.56779420044395,3.56779420044395,0.0
170703050102,2014-02,0.0,5.16116348218897,5.16116348218897,0.0
170703050102,2014-03,0.0,10.8222020251576,10.8222020251576,0.0
170703050102,2014-04,0.000324003296918951,10.0387188948067,10.041972527013,0.00325363220632228
170703050102,2014-05,0.123043240933927,8.0214208378637,8.2897867208495,0.268365882985793
170703050102,2014-06,0.34182591930167,5.07127755668214,6.24002907830319,1.16875152162105
170703050102,2014-07,0.424089546222861,3.40460642835399,5.11067971511561,1.70607328676163
170703050102,2014-08,0.31249406497236,3.17174728333112,4.15928460837355,0.987537325042428
170703050102,2014-09,0.316877978440679,2.54902735766085,3.31937526510933,0.770347907448475
170703050102,2014-10,0.285934829627327,2.79140782695346,2.99984985545745,0.208442028503997
170703050102,2014-11,0.0880438159177955,3.31176317736289,3.31247734085434,0.000714163491449182
170703050102,2014-12,0.0,7.99756233623219,7.99756233623219,0.0
170703050102,2015-01,0.0,8.03862765824712,8.03862765824712,0.0
170703050102,2015-02,0.0,10.5624969204082,10.5624969204082,0.0
170703050102,2015-03,0.0,10.0763496689914,10.0763496689914,0.0
170703050102,2015-04,0.172112346233708,8.31362507457438,8.3142356726536,0.000610598079219658
170703050102,2015-05,0.198029801512008,7.33552754453722,7.60121552800175,0.265687983464534
170703050102,2015-06,0.479934112102059,4.00714422314305,5.85632010431027,1.84917588116722
170703050102,2015-07,0.370615786149013,3.72072693997459,5.0838626581181,1.36313571814351
170703050102,2015-08,0.468197995812489,2.45342109226151,4.02949694102972,1.5760758487682
170703050102,2015-09,0.221035758427406,2.9066566436779,3.42388727852508,0.517230634847178
170703050102,2015-10,0.254232158532697,2.91533921011096,3.06926251977833,0.153923309667376
170703050102,2015-11,0.170632607967922,3.01184249570234,3.01304709005951,0.00120459435717398
170703050102,2015-12,0.0,4.78536820385883,4.78536820385883,0.0
170703050102,2016-01,0.0500789117782365,4.32033944813084,4.32033944813084,0.0
170703050102,2016-02,0.0,5.73445955423817,5.73445955423817,0.0
170703050102,2016-03,0.0,15.6903143592216,15.6903143592215,0.0
170703050102,2016-04,0.0,13.6374141719682,13.6374141719682,0.0
170703050102,2016-05,0.0,10.5532672834973,11.018491645782,0.46522436228467
170703050102,2016-06,0.109725117325428,6.85963055092521,8.13660730181237,1.27697675088716
170703050102,2016-07,0.151526141261532,5.0159178997455,6.6679123512629,1.65199445151741
170703050102,2016-08,0.219210684378259,3.60210183578657,5.26294919078588,1.66084735499931
170703050102,2016-09,0.0345196060607046,3.60263007159216,4.15152170531024,0.548891633718082
