fit_id,regime,held_out_spatial_fold,gap_threshold_days,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,standardized_design_condition_number,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,validation_used,test_used,hyperparameter_search
T1_TEMPORAL_OOS_G120_FALL_B1,T1_TEMPORAL_OOS,NONE,120,B1,delta_h,INTERCEPT,0.054614099565653,0.0,1.0,1.212476861944246,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1,T1_TEMPORAL_OOS,NONE,120,B1,delta_h,delta_days,-0.4401927904308642,34.67193497791142,22.16866494119285,1.212476861944246,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1,T1_TEMPORAL_OOS,NONE,120,B1,delta_h,season_sin,0.27465672456666324,-0.0066939386057679445,0.7104168649996497,1.212476861944246,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1,T1_TEMPORAL_OOS,NONE,120,B1,delta_h,season_cos,4.006833657197654,-0.027639307052851933,0.7032063266322692,1.212476861944246,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1,T1_TEMPORAL_OOS,NONE,120,B1,delta_h,time_trend_years,-0.4354651289209324,2.723061579955481,1.3957206682287526,1.212476861944246,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,INTERCEPT,0.054614099565652996,0.0,1.0,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,delta_days,5.337057809464084,34.67193497791142,22.16866494119285,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,season_sin,1.3841579405176854,-0.0066939386057679445,0.7104168649996497,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,season_cos,1.8526308783949017,-0.027639307052851933,0.7032063266322692,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,time_trend_years,-0.3930652398751982,2.723061579955481,1.3957206682287526,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,P_interval_mm,-0.1593468603155183,40.36109254928166,72.68318172858308,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
T1_TEMPORAL_OOS_G120_FALL_B1C,T1_TEMPORAL_OOS,NONE,120,B1C,delta_h,ET0_interval_mm,-6.5435154711577965,129.44759438690275,100.85636701526288,18.108479727331495,5986,181,TRAIN,1991-10-01,1996-09-01,False,False,NONE
