regime,site_code,RMSE_improvement_ft
T1_TEMPORAL_OOS,337856N1178834W002,1.5226427940408573
T1_TEMPORAL_OOS,337856N1178834W003,3.284432524314979
T1_TEMPORAL_OOS,337910N1178268W001,0.6166496992022532
T1_TEMPORAL_OOS,337959N1180672W001,-2.3474744809048813
T1_TEMPORAL_OOS,337959N1180672W002,3.1813894995183585
T1_TEMPORAL_OOS,337959N1180672W003,3.0415503773086527
T1_TEMPORAL_OOS,337995N1178787W001,-0.5213727140078186
T1_TEMPORAL_OOS,337995N1178787W002,2.819358206533159
T1_TEMPORAL_OOS,337995N1178787W003,2.452865732625402
T1_TEMPORAL_OOS,338045N1179568W001,-0.13440871936198207
T1_TEMPORAL_OOS,338047N1178086W001,2.432333140556544
T1_TEMPORAL_OOS,338047N1178086W002,1.8900464233336045
T1_TEMPORAL_OOS,338161N1180207W001,-1.8958396638103636
T1_TEMPORAL_OOS,338170N1179764W001,-0.30847075379722
T1_TEMPORAL_OOS,338205N1180164W001,-1.6787548896808837
T1_TEMPORAL_OOS,338205N1180164W002,2.248235524349239
T1_TEMPORAL_OOS,338205N1180164W003,2.7234048703039306
T1_TEMPORAL_OOS,338229N1179374W001,-2.379102703109772
T1_TEMPORAL_OOS,338229N1179374W002,2.3761285564651757
T1_TEMPORAL_OOS,338229N1179374W003,2.246894292454141
T1_TEMPORAL_OOS,338250N1179465W001,0.5904772297475978
T1_TEMPORAL_OOS,338285N1179436W001,0.061272663755440604
T1_TEMPORAL_OOS,338285N1179891W001,-1.3495048103424296
T1_TEMPORAL_OOS,338320N1180539W001,0.40503141268935927
T1_TEMPORAL_OOS,338327N1178668W001,-0.101666468908447
T1_TEMPORAL_OOS,338327N1178668W002,1.5112896439627042
T1_TEMPORAL_OOS,338327N1178668W003,1.6143334113314962
T1_TEMPORAL_OOS,338349N1180575W001,0.12044654582268155
T1_TEMPORAL_OOS,338366N1179547W001,0.35306133521399596
T1_TEMPORAL_OOS,338451N1179506W001,0.4995765180959708
T1_TEMPORAL_OOS,338469N1179285W001,0.3024318570732145
T1_TEMPORAL_OOS,338488N1179110W001,-2.147718420995396
T1_TEMPORAL_OOS,338488N1179110W002,1.3521327702930042
T1_TEMPORAL_OOS,338490N1179163W001,0.1403100463394158
T1_TEMPORAL_OOS,338490N1179166W001,0.18101157182927574
T1_TEMPORAL_OOS,338509N1178361W001,-3.0164636909870888
T1_TEMPORAL_OOS,338509N1178361W002,-3.002890812257588
T1_TEMPORAL_OOS,338511N1180333W001,3.628016370590222
T1_TEMPORAL_OOS,338543N1178361W001,1.6475220003203215
T1_TEMPORAL_OOS,338552N1178566W001,-1.3100802042148478
T1_TEMPORAL_OOS,338552N1178566W002,0.38985458589376343
T1_TEMPORAL_OOS,338552N1178566W003,0.4291304613823428
T1_TEMPORAL_OOS,338556N1180264W001,-2.26860372456116
T1_TEMPORAL_OOS,338556N1180264W002,3.296961930398421
