year,scope,share_mae,share_corr,n_months,peak_month_obs,peak_month_gray,peak_month_error,summer_fraction_obs,summer_fraction_gray,amplitude_obs,amplitude_gray,month,p_obs,p_gray,share_abs_error
,pooled,0.0764245648362777,0.7513998166662088,132.0,,,,,,,,,,,
2013.0,year,0.06099471113571525,0.8780763478206702,12.0,7.0,7.0,0.0,0.5435302150904745,0.8497245159034323,4.650051212017753,5.9705055006415035,,,,
2013.0,month,,,,,,,,,,,1.0,0.13041993854557868,0.0,0.13041993854557868
2013.0,month,,,,,,,,,,,2.0,0.029702970297029695,0.0,0.029702970297029695
2013.0,month,,,,,,,,,,,3.0,0.03414134516899965,0.0,0.03414134516899965
2013.0,month,,,,,,,,,,,4.0,0.05394332536701944,0.0,0.05394332536701944
2013.0,month,,,,,,,,,,,5.0,0.08125640150221916,0.0362167792765245,0.04503962222569466
2013.0,month,,,,,,,,,,,6.0,0.05462615227039945,0.13104611939399138,0.07641996712359193
2013.0,month,,,,,,,,,,,7.0,0.40525776715602585,0.49754212505345863,0.09228435789743278
2013.0,month,,,,,,,,,,,8.0,0.08364629566404914,0.2211362714559824,0.13748997579193328
2013.0,month,,,,,,,,,,,9.0,0.05428473881870945,0.11405870482004299,0.059773966001333535
2013.0,month,,,,,,,,,,,10.0,0.022874701263229765,0.0,0.022874701263229765
2013.0,month,,,,,,,,,,,11.0,0.017753499487879822,0.0,0.017753499487879822
2013.0,month,,,,,,,,,,,12.0,0.03209286445885968,0.0,0.03209286445885968
2014.0,year,0.09588392810009556,0.5484537680075915,12.0,8.0,7.0,-1.0,0.3646659116647792,0.8632784681463079,1.359003397508494,6.682931188064177,,,,
2014.0,month,,,,,,,,,,,1.0,0.05492638731596829,0.0,0.05492638731596829
2014.0,month,,,,,,,,,,,2.0,0.056625141562853906,0.0,0.056625141562853906
2014.0,month,,,,,,,,,,,3.0,0.060022650056625146,0.0,0.060022650056625146
2014.0,month,,,,,,,,,,,4.0,0.05719139297848245,0.001633934050381743,0.055557458928100704
2014.0,month,,,,,,,,,,,5.0,0.08607021517553795,0.030346431878190486,0.055723783297347465
2014.0,month,,,,,,,,,,,6.0,0.10702151755379388,0.030330505434749362,0.07669101211904453
2014.0,month,,,,,,,,,,,7.0,0.10702151755379388,0.5569109323386814,0.44988941478488753
2014.0,month,,,,,,,,,,,8.0,0.15062287655719142,0.27603703037287725,0.12541415381568582
2014.0,month,,,,,,,,,,,9.0,0.13929784824462063,0.0753273180185101,0.06397053022611053
2014.0,month,,,,,,,,,,,10.0,0.09003397508493771,0.029413847906609773,0.06062012717832794
2014.0,month,,,,,,,,,,,11.0,0.053793884484711216,0.0,0.053793884484711216
2014.0,month,,,,,,,,,,,12.0,0.03737259343148358,0.0,0.03737259343148358
2016.0,year,0.09100761479382168,0.6742331130624647,12.0,8.0,8.0,0.0,0.3958351335003888,0.9251937736199436,1.926553184135488,4.9978693655085165,,,,
2016.0,month,,,,,,,,,,,1.0,0.020565108442063423,0.0,0.020565108442063423
2016.0,month,,,,,,,,,,,2.0,0.023848613151300435,0.0,0.023848613151300435
2016.0,month,,,,,,,,,,,3.0,0.09228376393329299,0.0,0.09228376393329299
2016.0,month,,,,,,,,,,,4.0,0.1268469713989458,0.00965572173933885,0.11719124965960695
2016.0,month,,,,,,,,,,,5.0,0.09720902099714852,0.007601337430806655,0.08960768356634187
2016.0,month,,,,,,,,,,,6.0,0.1219217143350903,0.22857788626423134,0.10665617192914104
2016.0,month,,,,,,,,,,,7.0,0.09280221204527779,0.28012677356333604,0.18732456151805826
2016.0,month,,,,,,,,,,,8.0,0.1811112071200207,0.41648911379237624,0.23537790667235553
2016.0,month,,,,,,,,,,,9.0,0.040266136697485515,0.05695318534086073,0.016687048643375217
2016.0,month,,,,,,,,,,,10.0,0.06921282294996975,0.0005959818690499735,0.06861684108091977
2016.0,month,,,,,,,,,,,11.0,0.040438952734813786,0.0,0.040438952734813786
2016.0,month,,,,,,,,,,,12.0,0.09349347619459085,0.0,0.09349347619459085
2017.0,year,0.06101928439728153,0.9602103924259557,12.0,7.0,7.0,0.0,0.4996393206111877,0.8301447457016209,1.8823529411764703,4.3753497850192815,,,,
2017.0,month,,,,,,,,,,,1.0,0.03967473276936193,0.0,0.03967473276936193
2017.0,month,,,,,,,,,,,2.0,0.052396878483835015,0.0,0.052396878483835015
2017.0,month,,,,,,,,,,,3.0,0.0423634336677815,0.0,0.0423634336677815
2017.0,month,,,,,,,,,,,4.0,0.04570791527313267,0.0,0.04570791527313267
2017.0,month,,,,,,,,,,,5.0,0.09341596170240674,0.04402004733365786,0.04939591436874888
2017.0,month,,,,,,,,,,,6.0,0.13141845366909308,0.11461996796932097,0.016798485699772103
2017.0,month,,,,,,,,,,,7.0,0.19345530854482265,0.3646124820849401,0.17115717354011747
2017.0,month,,,,,,,,,,,8.0,0.17476555839727198,0.3509122956473598,0.17614673725008784
2017.0,month,,,,,,,,,,,9.0,0.10702341137123748,0.12583520696472125,0.01881179559348377
2017.0,month,,,,,,,,,,,10.0,0.036592563446783404,0.0,0.036592563446783404
2017.0,month,,,,,,,,,,,11.0,0.042592956915207564,0.0,0.042592956915207564
2017.0,month,,,,,,,,,,,12.0,0.04059282575906618,0.0,0.04059282575906618
2018.0,year,0.0860638066046752,0.46958983077936867,12.0,8.0,7.0,-1.0,0.4224299503326774,0.9388127899607285,3.2254709024458816,6.575005906577133,,,,
