model,n,evaluation_start,evaluation_end,mae,rmse,smape,median_absolute_error
climatology,120,2014-01,2024-12,9430.125109684926,14691.577396837629,0.8624932883399854,5173.836474370872
seasonal_persistence,120,2014-01,2024-12,7473.075529290018,11164.769944572256,0.6305169573040583,4671.9552238128
annual_electricity_scale,120,2014-01,2024-12,8692.516427956456,12973.238902287489,0.6477320839582436,6236.762681297013
graybox_evap_scale,120,2014-01,2024-12,11728.128345685942,15879.351805203825,1.5566339821849557,8460.50110159898
scale_plus_evap,120,2014-01,2024-12,8518.442305606686,12686.193392694217,0.6118921534113065,4809.539347100272
