station,period,independent_series,stitched,valid_hours,weather_missing_hours,DX_required_hours,OA_FREE_fraction,HIGH_RH_MIXING_fraction,EVAP_COOLING_fraction,HUMIDIFICATION_fraction,MECHANICAL_COOLING_fraction,UNRESOLVED_fraction,category_counts,native_mode_counts
KFQD,2012-06-01/2012-08-31 UTC,True,False,1253,955,0,0.5403032721468476,0.35355147645650437,0.10614525139664804,0.0,0.0,0.0,"{""HUMIDIFICATION"": 0, ""OA_FREE"": 677, ""HIGH_RH_MIXING"": 443, ""EVAP_COOLING"": 133, ""MECHANICAL_COOLING"": 0, ""UNRESOLVED"": 0}","{""OA_FREE_COOLING"": 677, ""HIGH_RH_RETURN_AIR_MIXING"": 443, ""EVAPORATIVE_COOLING"": 133}"
KEHO,2012-06-01/2012-08-31 UTC,True,False,1916,292,0,0.6503131524008351,0.2588726513569937,0.09081419624217119,0.0,0.0,0.0,"{""HUMIDIFICATION"": 0, ""OA_FREE"": 1246, ""HIGH_RH_MIXING"": 496, ""EVAP_COOLING"": 174, ""MECHANICAL_COOLING"": 0, ""UNRESOLVED"": 0}","{""OA_FREE_COOLING"": 1246, ""HIGH_RH_RETURN_AIR_MIXING"": 496, ""EVAPORATIVE_COOLING"": 174}"
KGSP,2012-06-01/2012-08-31 UTC,True,False,2208,0,0,0.6413043478260869,0.19429347826086957,0.1644021739130435,0.0,0.0,0.0,"{""HUMIDIFICATION"": 0, ""OA_FREE"": 1416, ""HIGH_RH_MIXING"": 429, ""EVAP_COOLING"": 363, ""MECHANICAL_COOLING"": 0, ""UNRESOLVED"": 0}","{""OA_FREE_COOLING"": 1416, ""HIGH_RH_RETURN_AIR_MIXING"": 429, ""EVAPORATIVE_COOLING"": 363}"
