source,variable,year,artifact_type,url,accessed_at_utc,path,bytes,sha256,extraction_command,date_start,date_end,lat_index_range,lon_index_range
official gridMET THREDDS,potential_evapotranspiration,1991,DAS,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.das,2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1991.nc.das,3807,3eba8d316409488e23dd2f089216340fe7a7bef521818ff5d97ce15fb268558c,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.das' -o 'data/raw/gridmet/pet_1991.nc.das',,,,
official gridMET THREDDS,potential_evapotranspiration,1991,DDS,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.dds,2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1991.nc.dds,389,080373e6f199d17aa2a56b019215f6d18d788e9f9075a7a5c4b1ce0b0c6cc267,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.dds' -o 'data/raw/gridmet/pet_1991.nc.dds',,,,
official gridMET THREDDS,potential_evapotranspiration,1991,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.dods?potential_evapotranspiration[181:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1991_ocwd_subset.dods,155104,098af3576671dd4d3870a853522b0f427023d647727d814f793fcdab9b5d4a76,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1991.nc.dods?potential_evapotranspiration[181:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1991_ocwd_subset.dods',1991-07-01,1991-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1992,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1992.nc.dods?potential_evapotranspiration[0:1:365][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1992_ocwd_subset.dods,307984,d38c577b5c54066f8739defeafd69ca25d97215bc6b46500b6b0e8ff4376cb77,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1992.nc.dods?potential_evapotranspiration[0:1:365][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1992_ocwd_subset.dods',1992-01-01,1992-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1993,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1993.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1993_ocwd_subset.dods,307144,fdafc791d962b3a5e2ebddab0d7e3c5d6418b9189edf33e459004f18c9f530c9,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1993.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1993_ocwd_subset.dods',1993-01-01,1993-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1994,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1994.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1994_ocwd_subset.dods,307144,bc66efc59bb72e7d96f10d681c8120238e55a22d793b19ca8b76134b3a8eadda,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1994.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1994_ocwd_subset.dods',1994-01-01,1994-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1995,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1995.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1995_ocwd_subset.dods,307144,19b76907277bd44bc6feb7e824a48d3937d2d5c970099f33baa437a1fb2775ac,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1995.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1995_ocwd_subset.dods',1995-01-01,1995-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1996,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1996.nc.dods?potential_evapotranspiration[0:1:365][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1996_ocwd_subset.dods,307984,c8870d1bbc3c8eb0aad69cb44c61931c4239078e21ef096ee50bd0a70d96bb21,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1996.nc.dods?potential_evapotranspiration[0:1:365][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1996_ocwd_subset.dods',1996-01-01,1996-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1997,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1997.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1997_ocwd_subset.dods,307144,ef218f7b1892ebc6f1f6be623d2965bc993e15094b1e0a6a7e74d163b01f85a2,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1997.nc.dods?potential_evapotranspiration[0:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1997_ocwd_subset.dods',1997-01-01,1997-12-31,369:381,158:173
official gridMET THREDDS,potential_evapotranspiration,1998,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1998.nc.dods?potential_evapotranspiration[0:1:333][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pet_1998_ocwd_subset.dods,281104,bf851626432f56c45ea23cb4dd518177dd2b5ba737a6211fc181f67bce21bd13,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pet/pet_1998.nc.dods?potential_evapotranspiration[0:1:333][369:1:381][158:1:173]' -o 'data/raw/gridmet/pet_1998_ocwd_subset.dods',1998-01-01,1998-11-30,369:381,158:173
official gridMET THREDDS,precipitation_amount,1991,DAS,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.das,2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pr_1991.nc.das,3780,f88d1f88f8d93a3a7d77992288f64cd20a2fc690afb7609d8ead9632328af8df,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.das' -o 'data/raw/gridmet/pr_1991.nc.das',,,,
official gridMET THREDDS,precipitation_amount,1991,DDS,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.dds,2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pr_1991.nc.dds,371,cb2c973c3b4885a3378ce60f0bd271049616e60febf41b1cb5ca704f221079c5,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.dds' -o 'data/raw/gridmet/pr_1991.nc.dds',,,,
official gridMET THREDDS,precipitation_amount,1991,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.dods?precipitation_amount[181:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pr_1991_ocwd_subset.dods,155086,9bc516a6ba6e2d312b0b6f50d57f4c522dcca9ab384db07b9696239546ba2d61,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1991.nc.dods?precipitation_amount[181:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pr_1991_ocwd_subset.dods',1991-07-01,1991-12-31,369:381,158:173
official gridMET THREDDS,precipitation_amount,1992,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1992.nc.dods?precipitation_amount[0:1:365][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pr_1992_ocwd_subset.dods,307966,2571c5a0d4d2d55b5cbb2b71a42431d544703081cbe484d61b40114a1e412d32,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1992.nc.dods?precipitation_amount[0:1:365][369:1:381][158:1:173]' -o 'data/raw/gridmet/pr_1992_ocwd_subset.dods',1992-01-01,1992-12-31,369:381,158:173
official gridMET THREDDS,precipitation_amount,1993,bounded_OPeNDAP_DODS_response,https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1993.nc.dods?precipitation_amount[0:1:364][369:1:381][158:1:173],2026-09-04T15:47:10.786337+00:00,data/raw/gridmet/pr_1993_ocwd_subset.dods,307126,dfd267fa9d46e589bc8e5293f63c5b665aed1766e5098a2d4a6a9e8c85e4aebd,curl -L --fail 'https://tds-proxy.nkn.uidaho.edu/thredds/dodsC/MET/pr/pr_1993.nc.dods?precipitation_amount[0:1:364][369:1:381][158:1:173]' -o 'data/raw/gridmet/pr_1993_ocwd_subset.dods',1993-01-01,1993-12-31,369:381,158:173
