logical_input,path,parent_module,used_by,exists,bytes,worktree_sha256,tracked_at_baseline,baseline_git_blob_sha1,baseline_blob_sha256,parent_manifest_sha256,worktree_matches_frozen,baseline_commit,resolution
gw1a_head_transitions,other_sources/ocwd_groundwater_gw1_preflight/data/derived/HEAD_TRANSITIONS.parquet,ocwd_groundwater_gw1_preflight,"response population, features, splits",True,685802,fbfcee85654bbf3b0115b9ef33617ae189b4ba7635f5a6a9ed91f3d6245f690e,False,,,fbfcee85654bbf3b0115b9ef33617ae189b4ba7635f5a6a9ed91f3d6245f690e,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_spatial_folds,other_sources/ocwd_groundwater_gw1_preflight/config/SPATIAL_FOLDS.csv,ocwd_groundwater_gw1_preflight,immutable spatial folds,True,57775,e18ba3a637146e53a4dcfe84fea684ed2b84d40bf488bfcbfea4a5e866621eea,True,75d90847b9a6e457536a931461a9e54560fc136c,e18ba3a637146e53a4dcfe84fea684ed2b84d40bf488bfcbfea4a5e866621eea,e18ba3a637146e53a4dcfe84fea684ed2b84d40bf488bfcbfea4a5e866621eea,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_holdouts,other_sources/ocwd_groundwater_gw1_preflight/config/holdouts.yaml,ocwd_groundwater_gw1_preflight,temporal split,True,763,c9b8ec9648bdf02b1a7021e12b1907379a15980df8a66b1fc8bcb1300335c51d,True,bc8d628d3be8419bb55b1b609ae799eb9545dcb9,c9b8ec9648bdf02b1a7021e12b1907379a15980df8a66b1fc8bcb1300335c51d,c9b8ec9648bdf02b1a7021e12b1907379a15980df8a66b1fc8bcb1300335c51d,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_analysis_protocol,other_sources/ocwd_groundwater_gw1_preflight/config/analysis_protocol.yaml,ocwd_groundwater_gw1_preflight,B1 and Prado definitions,True,3170,9de4b4f99f47d816a6b78870caf9c9466f538f93c64a4a68b21cc16cb64438cd,True,a69798146c3a49f1c9754ad1e8daeaa9f69e4853,9de4b4f99f47d816a6b78870caf9c9466f538f93c64a4a68b21cc16cb64438cd,9de4b4f99f47d816a6b78870caf9c9466f538f93c64a4a68b21cc16cb64438cd,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_primary_metrics,other_sources/ocwd_groundwater_gw1_preflight/outputs/tables/PRIMARY_METRICS.csv,ocwd_groundwater_gw1_preflight,B1 reproduction target,True,2757,0215e3709a731be186704673cb51d99cbd80f39a27c4e274c0a0aca7830d9691,True,cd277453855b5621619768ed3ed2408fa461ecb2,0215e3709a731be186704673cb51d99cbd80f39a27c4e274c0a0aca7830d9691,0215e3709a731be186704673cb51d99cbd80f39a27c4e274c0a0aca7830d9691,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_primary_predictions,other_sources/ocwd_groundwater_gw1_preflight/data/derived/PRIMARY_TEST_PREDICTIONS.parquet,ocwd_groundwater_gw1_preflight,B1 prediction reproduction target,True,280370,4245ba3cb753573b716e91ed18e1f01c30311dd76faf1bdd04580f78106e1401,False,,,4245ba3cb753573b716e91ed18e1f01c30311dd76faf1bdd04580f78106e1401,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_sensitivity_metrics,other_sources/ocwd_groundwater_gw1_preflight/outputs/tables/SENSITIVITY_METRICS.csv,ocwd_groundwater_gw1_preflight,cadence protocol,True,5599,3c1ff28ddc9014a7f5dd1d8649e063af4335aca71459794c5c09e665f53b5f89,True,80c0c42bd493bc245d187ab793806792a8275a14,3c1ff28ddc9014a7f5dd1d8649e063af4335aca71459794c5c09e665f53b5f89,3c1ff28ddc9014a7f5dd1d8649e063af4335aca71459794c5c09e665f53b5f89,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_protocol_freeze,other_sources/ocwd_groundwater_gw1_preflight/outputs/protocol/PROTOCOL_FREEZE.json,ocwd_groundwater_gw1_preflight,frozen protocol,True,3840,7973892e04ba39f2510963787d7a4ed7a5e9f014a8d785f10ce484c8e0c99676,True,d6cc28e69a84f24ec20fce7d11779c6d42800294,7973892e04ba39f2510963787d7a4ed7a5e9f014a8d785f10ce484c8e0c99676,7973892e04ba39f2510963787d7a4ed7a5e9f014a8d785f10ce484c8e0c99676,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_reserved_validation,other_sources/ocwd_groundwater_gw1_preflight/outputs/protocol/RESERVED_EXTERNAL_VALIDATION.json,ocwd_groundwater_gw1_preflight,reserved tracer/MBI assets,True,1085,e5954311d1b5786739b74c344f4631dca9ae501e4ac719d5588b45fdb80eca21,True,1e73892dd8c701e87f094ace3b848df587db81c5,e5954311d1b5786739b74c344f4631dca9ae501e4ac719d5588b45fdb80eca21,e5954311d1b5786739b74c344f4631dca9ae501e4ac719d5588b45fdb80eca21,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_dependency_manifest,other_sources/ocwd_groundwater_gw1_preflight/outputs/provenance/GW1A_DEPENDENCY_MANIFEST.csv,ocwd_groundwater_gw1_preflight,upstream provenance,True,10079,a4dd85fa8a99df85a16deb7c3c3f290b4638586011a1dccb0aa635d79f071e06,True,367caf940fedd8829adf4015aeffa530fdfc34be,a4dd85fa8a99df85a16deb7c3c3f290b4638586011a1dccb0aa635d79f071e06,a4dd85fa8a99df85a16deb7c3c3f290b4638586011a1dccb0aa635d79f071e06,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_output_hash_manifest,other_sources/ocwd_groundwater_gw1_preflight/outputs/provenance/GW1A_OUTPUT_HASHES.csv,ocwd_groundwater_gw1_preflight,ignored output integrity,True,6349,c86c5741c012657b70cdfc17fc9cbac9705d2a47798c0e0992d4936a18b10dc6,True,b3e9cc10d10ea514fc8ece9ad7f1b2f86e47d9ea,c86c5741c012657b70cdfc17fc9cbac9705d2a47798c0e0992d4936a18b10dc6,,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
gw1a_final_status,other_sources/ocwd_groundwater_gw1_preflight/outputs/FINAL_GW1A_STATUS.json,ocwd_groundwater_gw1_preflight,frozen result interpretation,True,4345,bcc7864a991a00f4b6a7106d89e7db66dba11dbdf33835cffea5ca3ebb4d2f5b,True,d1ef7128be322ff82edd2eb73f37d07caaadac99,bcc7864a991a00f4b6a7106d89e7db66dba11dbdf33835cffea5ca3ebb4d2f5b,bcc7864a991a00f4b6a7106d89e7db66dba11dbdf33835cffea5ca3ebb4d2f5b,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
basin_geometry,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_BASIN_8_001.geojson,ocwd_groundwater_feasibility,climate subset and coverage context,True,1193737,e78e967ae9038236b456445a3f4bac21b2c13628a3914019112c8f736a43ec03,False,,,e78e967ae9038236b456445a3f4bac21b2c13628a3914019112c8f736a43ec03,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
well_master,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_OCWD_WELL_MASTER.parquet,ocwd_groundwater_feasibility,authoritative coordinate provenance,True,111335,f1c3acdb5e8a7ee45eefa6a833f9d0ceedf2f429fba15d8c7b16735098d1aebc,False,,,f1c3acdb5e8a7ee45eefa6a833f9d0ceedf2f429fba15d8c7b16735098d1aebc,True,9e7ff6c43f28fcc66760681695459445283f6396,verified exact working-tree bytes; no parent copy modified
