side,WUE,PUE,class,WUE_p05,WUE_p95,PUE_p05,PUE_p95
ESIF_observed,0.7,1.034,ESIF_MEASURED_OR_SOURCE_DERIVED,,,,
ESIF_cf_reuse,1.27,1.034,MODELED_COUNTERFACTUAL,,,,
ESIF_cf_tower,1.42,,MODELED_COUNTERFACTUAL,,,,
Lei_LIQ_DRY_AD_5B,,,LEI_MASANET_MODELED_SCENARIO,0.1441899806261062,0.2593732252717018,1.054486905,1.14249678
Lei_WE_WCC_5B,,,LEI_MASANET_MODELED_SCENARIO,1.874289029836655,2.5514143347740177,1.065990415,1.161221775
