direction,depth,huc12,name,tohuc,areasqkm,states
site,0,170703051002,Town of Prineville-Crooked River,170703051006,69.22,OR
upstream,1,170703050102,Stearns Dam-Crooked River,170703051002,146.22,OR
upstream,1,170703050404,Town of Prineville-Ochoco Creek,170703051002,48.76,OR
upstream,1,170703051001,Juniper Canyon,170703051002,50.97,OR
upstream,2,170703040802,Lower Prineville Reservoir,170703050102,130.53,OR
upstream,2,170703050101,Dry Creek,170703050102,95.95,OR
upstream,2,170703050403,Ochoco Reservoir-Ochoco Creek,170703050404,119.48,OR
upstream,3,170703040801,Upper Prineville Reservoir,170703040802,88.45,OR
upstream,3,170703040706,Lower Bear Creek,170703040802,93.8,OR
upstream,3,170703050302,Mill Creek,170703050403,98.51,OR
upstream,3,170703050402,Veazie Creek-Ochoco Creek,170703050403,67.53,OR
upstream,4,170703040608,Conant Creek-Crooked River,170703040801,140.72,OR
upstream,4,170703040703,Middle Bear Creek,170703040706,102.67,OR
upstream,4,170703040704,Sage Hollow,170703040706,106.78,OR
upstream,4,170703040705,Little Bear Creek,170703040706,58.05,OR
upstream,4,170703050301,East Fork Mill Creek,170703050302,86.85,OR
upstream,4,170703050401,Lawson Creek,170703050402,66.91,OR
upstream,4,170703050205,Duncan Creek-Ochoco Creek,170703050402,91.12,OR
upstream,5,170703040606,Lower Horse Heaven Creek,170703040608,55.33,OR
upstream,5,170703040603,Pine Creek-Crooked River,170703040608,120.77,OR
upstream,5,170703040604,Newsome Creek,170703040608,85.4,OR
upstream,5,170703040607,Wickiup Creek,170703040608,57.85,OR
upstream,5,170703040702,Upper Bear Creek,170703040703,103.34,OR
upstream,5,170703050201,Headwaters Ochoco Creek,170703050205,65.25,OR
upstream,5,170703050202,Wolf Creek,170703050205,75.25,OR
upstream,5,170703050204,Lower Marks Creek,170703050205,73.74,OR
upstream,6,170703040605,Upper Horse Heaven Creek,170703040606,75.58,OR
upstream,6,170703040502,Rough Canyon Creek-North Fork Crooked River,170703040603,102.27,OR
upstream,6,170703040601,Lost Creek,170703040603,82.73,OR
