huc12,name,tohuc,areasqkm,states
170703050809,Houston Lake-Dry River,170703051006,43.64,OR
170703050101,Dry Creek,170703050102,95.95,OR
170703050102,Stearns Dam-Crooked River,170703051002,146.22,OR
170703050808,Powell Butte-Dry River,170703050809,125.71,OR
170703050404,Town of Prineville-Ochoco Creek,170703051002,48.76,OR
170703051001,Juniper Canyon,170703051002,50.97,OR
170703050503,Lower McKay Creek,170703051006,100.19,OR
170703051006,McAllister Slough-Crooked River,170703051101,110.77,OR
