year,simulation_id,facility_energy_mwh,it_energy_mwh,annual_pue,facility_peak_mw,facility_peak_to_mean,raw_evap_m3,arrival_cv,terminal_backlog_work_units,first_backlog_start_work_units,first_it_mw,last_it_mw,january_it_scale_jump_pct
2011,0,71000.0,67448.46983860535,1.0526554593438955,10.002112187334426,1.2340634191697124,2078.2789231711467,0.1916941904639446,0.0,25.18163800705413,8.153551337133079,6.599465642083473,
2012,0,153000.0,143997.40061185072,1.0625191798594757,21.49183815144604,1.2338843550477256,5177.634562502546,0.18853868763883772,16.56168186345306,0.0,13.47403092667275,16.584046491513554,104.16851389833062
2013,0,223999.99999999997,214232.32779007097,1.0455938294219558,31.559526749248604,1.2342029210866867,9740.467626069896,0.18693502765846862,0.0,16.56168186345306,24.210868657459145,22.047695674285087,45.988909702155105
2014,0,262000.00000000006,243691.94044526597,1.0751278828560444,36.89881245376885,1.2337160194466223,9786.832218292106,0.18668013556310248,0.0,0.0,28.54679729093683,24.015692015151323,29.477464278644984
2015,0,284000.0,266388.0521886405,1.066113880358597,40.18217565626425,1.2394220378481509,12841.983855142695,0.19076662850449871,3.103751616792046,0.0,27.95699147290214,32.250557892499494,16.411350775419166
2016,0,327000.0000000001,308298.8241673589,1.0606592512415465,45.93361256324914,1.23388639986416,8844.858819208448,0.19169443682999254,0.0,3.103751616792046,32.881533164028944,29.903142179814914,1.9564786247502297
2017,0,426000.0,400615.9755706333,1.0633624867136413,60.266730073578834,1.239287688836973,21029.71296883267,0.1897599862416124,31.96401709598129,0.0,37.57685043897814,49.18138883349616,25.66187932030467
2018,0,488000.0,454396.75929380674,1.0739513212163248,69.43127511791667,1.2463482992478485,17632.763968656007,0.1919617346777942,0.0,31.96401709598129,56.10640822467461,55.87348787904343,14.080569002683395
2019,0,572999.9999999999,538997.8980257711,1.06308392314473,80.9509599386749,1.237574884926339,12713.553030953457,0.1943569323343669,0.0,0.0,65.4634915917887,63.634430616394745,17.163782102713878
2020,0,686000.0,644813.9070630698,1.0638728360008864,96.8984910582991,1.240752690169241,27299.117401814216,0.19141605478935025,0.0,0.0,71.58462040098792,71.69605568781508,12.493534879755627
2021,0,898409.0,833464.9991827973,1.0779204896196957,126.89878145596197,1.2373354736586866,49968.13773477961,0.19188685402736216,0.0,0.0,90.10878758365114,89.66056311623723,25.681652524945456
2022,0,982176.9999999998,922746.4903664098,1.0644061074781124,138.85335667483346,1.238427905022762,52098.17845652227,0.1895530396204213,0.0,0.0,90.4036293795907,93.40600843645187,0.8287548477585935
2023,0,1375320.9999999995,1276159.4934634233,1.077703066932063,193.33799172081422,1.2314512811731466,51571.7691865636,0.1889929228234469,0.0,0.0,136.69855659824864,146.89365389365082,46.34878300280925
2024,0,1728291.0,1643994.3430815795,1.0512755151945419,243.42509311867826,1.237202541675256,87225.83008250043,0.19428304559998438,0.0,0.0,187.43950019307402,187.5668747347367,27.602176965914328
2011,1,71000.0,67094.70256271184,1.0582057493084192,10.025584055506513,1.2369593848765783,2059.8873608121226,0.17265689684937413,0.0,17.11340027207186,7.617475134280669,7.0680837288721525,
2012,1,153000.0,143975.79270346544,1.0626786428960384,21.520661196753675,1.2355391369430346,5250.9729085888475,0.17228894386351368,0.0,0.0,16.461965550846553,15.064615269564051,132.90563867546845
2013,1,223999.99999999997,210679.32500229406,1.063227253066056,31.659098863127273,1.2380969019687273,9539.020865480554,0.17105604384406484,0.30208481214933514,0.0,24.044930493678947,21.217520691983655,59.6119785565209
2014,1,262000.00000000006,245259.494062668,1.0682563013566952,36.992897525592134,1.2368617645961337,9804.714895426327,0.17383869299223392,0.0,0.30208481214933514,27.582139880852683,24.132961115480835,29.996997675952265
2015,1,284000.00000000006,266947.18543820485,1.063880855435139,40.247696164922544,1.241443022551836,12845.634632189218,0.17145595985256698,1.6925951546449625,0.0,24.696153061680498,30.040761970866406,2.333704278992873
2016,1,326999.99999999994,305459.1511753994,1.0705195727209738,46.19743284601311,1.2409732419552881,8747.038594459804,0.17231884268992578,24.230753325201057,1.6925951546449625,27.454657022055912,34.909720674900015,-8.608652973977502
2017,1,426000.0,400407.53432239185,1.0639160442395725,60.29580132375063,1.23988549200952,21002.836456035613,0.17440938282664534,0.0,24.230753325201057,43.49349607694955,45.90939647440098,24.58849637322146
2018,1,487999.99999999994,457206.6807643333,1.0673509826763425,69.0513457107784,1.2395282549721698,17989.62961068015,0.17288377917493492,13.209647685689372,0.0,56.267235470601406,55.92496132559092,22.56147933021935
