check,status,detail
2015_200k_ft2_present,PASS,n=1
2015_200k_ft2_building_unmapped,PASS,building_id='UNRESOLVED' value=200000 relation=approximately
mw_fact_present:excess_transmission_capacity_mw,PASS,n=1
mw_not_campus_load:excess_transmission_capacity_mw,PASS,model_role=capacity_constraint value=120 unit=MW relation=approximately
mw_fact_present:cco_interconnection_capacity_mw,PASS,n=1
mw_not_campus_load:cco_interconnection_capacity_mw,PASS,model_role=capacity_constraint value=220 unit=MW relation=up_to
mw_fact_present:cco_subject_new_large_load_mw,PASS,n=1
mw_not_campus_load:cco_subject_new_large_load_mw,PASS,model_role=service_context value=180 unit=MW relation=stated
mw_fact_present:schedule272_resource_capacity_mw,PASS,n=1
mw_not_campus_load:schedule272_resource_capacity_mw,PASS,model_role=renewable_accounting_context value=437 unit=MW relation=stated
water_infrastructure_not_campus_water_observation,PASS,bad_ids=[]
2022_no_additional_capacity,PASS,n=1
2023_no_additional_capacity_reservation,PASS,n=1
meta_reporting_boundary_row,PASS,n=1
meta_reporting_boundary_value_unresolved,PASS,"UNRESOLVED: public regulatory evidence distinguishes PRN and CCO, but the physical boundary of each Meta annual “Prineville” disclosure vintage has not been established"
no_documentary_campus_meter_observation,PASS,bad_ids=[]
regulatory_events_have_dates,PASS,n_events=14 dated=14
