variable,qc_code,n,pct,action
TMP,5,135938,95.08082058599297,retain
TMP,9,5360,3.749012037406187,retain
TMP,1,1348,0.9428485497058844,retain
TMP,A,165,0.11540801980821286,retain
TMP,6,152,0.10631526673241426,reject_suspect_erroneous
TMP,7,6,0.004196655265753194,reject_suspect_erroneous
TMP,P,2,0.0013988850885843982,retain
DEW,5,136065,95.16964978911807,retain
DEW,9,5380,3.7630008882920314,retain
DEW,1,1347,0.9421491071615922,retain
DEW,A,110,0.0769386798721419,retain
DEW,6,62,0.04336543774611634,reject_suspect_erroneous
DEW,7,6,0.004196655265753194,reject_suspect_erroneous
DEW,2,1,0.0006994425442921991,reject_suspect_erroneous
SLP,5,121223,84.78852354673326,retain
SLP,9,20641,14.437193556735282,retain
SLP,1,1103,0.7714851263542957,retain
SLP,6,4,0.0027977701771687963,reject_suspect_erroneous
