n,mean_bias,median_bias,mae,rmse,corr,p05,p50,p95,variable,month
6612,-0.3026842428294038,-0.5333394368489355,1.3835427765102624,1.9098537194349245,0.9548431100067741,-2.8666727701822694,-0.5333394368489355,2.966660563151064,dry_bulb_C,1
6612,0.5921109347697668,0.43332722981773086,1.035821060120451,1.496236963212997,0.9612838364015965,-1.2000061035156024,0.43332722981773086,2.733327229817731,dewpoint_C,1
6612,4.820231628395861,5.290228795817637,7.717093282723094,9.588750467436425,0.8740732539806011,-9.660085225860058,5.290228795817637,16.64722474187486,rh_pct,1
6612,0.060498077717373824,-0.1371846516910098,0.9443959154792577,1.4073868549336797,0.963300613040504,-1.6671788533528358,-0.1371846516910098,2.4551798502602566,wet_bulb_C,1
6003,-0.5203793692636806,-0.6666727701822692,1.3570209720424142,1.771105319606315,0.9635389805105596,-2.9000061035156026,-0.6666727701822692,2.4333272298177313,dry_bulb_C,2
6003,0.5054081933042418,0.4666605631510641,1.0847009512647485,1.4451563521843518,0.9512504307841636,-1.6300061035156008,0.4666605631510641,2.699993896484398,dewpoint_C,2
6003,5.079912300338138,5.388557006845311,7.6147501064014085,9.490694000192807,0.9095858017154388,-8.104167115394919,5.388557006845311,17.154947564887866,rh_pct,2
6003,-0.09976484205406747,-0.23907267252579079,0.9087568318888937,1.2320859390671526,0.9667428224283039,-1.758099365234367,-0.23907267252579079,2.067168375651092,wet_bulb_C,2
6553,-0.6820468990799748,-0.7666727701822691,1.295092483663202,1.6433809473185708,0.9699481293485969,-2.8666727701822676,-0.7666727701822691,1.9666605631510639,dry_bulb_C,3
6553,0.5304278671121727,0.533327229817731,1.1264418700786967,1.4954444447555437,0.9368796930723932,-1.7000061035156024,0.533327229817731,2.733327229817731,dewpoint_C,3
6553,5.536864925112041,5.811872937444406,7.575659402559406,9.383874015630877,0.9325013907027957,-6.912905034550666,5.811872937444406,16.99011369354707,rh_pct,3
6553,-0.15943657370330228,-0.25555114746086105,0.8128595900779402,1.0742130393643823,0.9684482141208277,-1.632785542805962,-0.25555114746086105,1.7070723467867273,wet_bulb_C,3
6177,-1.0033897579325253,-1.0666727701822687,1.4203036250515257,1.7592469552175476,0.9765145774380098,-3.133339436848937,-1.0666727701822687,1.4666605631510645,dry_bulb_C,4
6177,0.2677366364490901,0.2666605631510644,1.1186494270094833,1.5175283229648209,0.9436503881635822,-2.133339436848935,0.2666605631510644,2.633327229817731,dewpoint_C,4
6177,5.149178846355246,5.053366938302808,6.956967650099231,8.83660269398305,0.9506804196016537,-5.934469375083429,5.053366938302808,16.54843714054437,rh_pct,4
6177,-0.40537638734032144,-0.4506449381247428,0.8373357772095973,1.07955883497568,0.972298563526825,-1.8784572347413637,-0.4506449381247428,1.3006213383645857,wet_bulb_C,4
6575,-1.1558549175659374,-1.266672770182268,1.515248918911879,1.8216486632115305,0.9799173984446299,-3.2000061035156024,-1.266672770182268,1.2999938964843984,dry_bulb_C,5
6575,0.181531919298086,0.19999389648439792,1.1774450467522912,1.578182270031603,0.9290155392781339,-2.4000061035156026,0.19999389648439792,2.6883272298177183,dewpoint_C,5
6575,4.987116764187939,4.720905748947665,6.857838396962208,8.787008150081155,0.9522054291212501,-6.2712827792313135,4.720905748947665,16.85466651935846,rh_pct,5
6575,-0.44408313320764814,-0.5072479248046635,0.8355422645595254,1.0470966649555464,0.9722319514207779,-1.8357556152343795,-0.5072479248046635,1.1732792157209857,wet_bulb_C,5
6343,-1.2295391846023644,-1.3333394368489344,1.5580805515620122,1.8646872199489013,0.9837575812716041,-3.300006103515603,-1.3333394368489344,1.1333272298177324,dry_bulb_C,6
6343,-0.1392472617477742,-0.10000610351560235,1.3488933055688626,1.7960844578667918,0.8941273605848234,-3.133339436848935,-0.10000610351560235,2.6666605631510643,dewpoint_C,6
6343,3.5701579607092797,3.091099428825032,5.737145253013143,7.671400036884696,0.9567934999793779,-6.322773412015469,3.091099428825032,14.962308501055539,rh_pct,6
6343,-0.5553811983354433,-0.6156646728515422,0.9145148874633297,1.1292548652289127,0.9674792317740534,-2.0614169302384187,-0.6156646728515422,1.1573152651050038,wet_bulb_C,6
6251,-1.1278051223392571,-1.2666727701822715,1.5825133591255474,1.901842292151662,0.9811971288065034,-3.3666727701822694,-1.2666727701822715,1.5666605631510642,dry_bulb_C,7
6251,-0.8033269055206148,-0.8000061035156021,1.8386878577943078,2.3592214261124647,0.8495178743514208,-4.366672770182269,-0.8000061035156021,2.7999938964843976,dewpoint_C,7
6251,0.9532521123503407,0.34679201575560725,4.537066536969595,6.181842666411022,0.9587978689477703,-8.401900457555165,0.34679201575560725,11.622655018393399,rh_pct,7
6251,-0.747038700922999,-0.8306508382160853,1.0877044815658305,1.3223175673657446,0.9471338823376187,-2.387091063718012,-0.8306508382160853,1.0997622172004968,wet_bulb_C,7
6736,-1.0815932048050492,-1.2333394368489365,1.5944085504026686,1.9308625703938123,0.9791521657412664,-3.400006103515601,-1.2333394368489365,1.7416605631510649,dry_bulb_C,8
6736,-0.4109606759621582,-0.4000061035156026,1.6988634879383275,2.2657655471224616,0.8710360793244994,-4.000006103515602,-0.4000061035156026,3.1333272298177306,dewpoint_C,8
6736,1.7723163573049403,1.3307764227006427,5.070616947340467,6.8380051003371864,0.952665287946871,-8.15470247873239,1.3307764227006427,13.1566248510026,rh_pct,8
6736,-0.6040969647627703,-0.6860616048156993,1.0045861846896045,1.2402493889531212,0.9566930191778569,-2.2001726791378866,-0.6860616048156993,1.2395860040886713,wet_bulb_C,8
6929,-0.9691154025967588,-1.0666727701822687,1.506628481600769,1.8519959129999994,0.9796188847034625,-3.300006103515603,-1.0666727701822687,1.7666605631510635,dry_bulb_C,9
6929,-0.3488297845250244,-0.26667277018226887,1.3863850731510103,1.8524222662820793,0.9110152756044702,-3.3333394368489353,-0.26667277018226887,2.433327229817731,dewpoint_C,9
6929,2.5147431979396377,2.000087474996036,5.538464199799017,7.339536413720711,0.9615498311116792,-7.610220414131019,2.000087474996036,13.858715412815442,rh_pct,9
6929,-0.5458573114555618,-0.5837341308593835,0.9437942655768847,1.189393106199864,0.9659463506768649,-2.2040118408193963,-0.5837341308593835,1.2038441328166474,wet_bulb_C,9
7035,-0.7388925556088775,-0.8666727701822694,1.4368647640983567,1.8187759958731329,0.9742417668043488,-3.2000061035156024,-0.8666727701822694,2.199993896484398,dry_bulb_C,10
7035,0.19519357834719273,0.26666056315106434,1.199910947833447,1.5920879791671934,0.9470323706905759,-2.433339436848936,0.26666056315106434,2.6333272298177306,dewpoint_C,10
7035,4.253368763126033,4.0389848488444,6.723796151026445,8.691915110887358,0.9456891642447278,-7.2725759494531586,4.0389848488444,16.682119995263026,rh_pct,10
7035,-0.2752416949488611,-0.34099284927262374,0.8976634965896803,1.1831841306989013,0.971378038864859,-1.9933121744572346,-0.34099284927262374,1.7711260986328354,wet_bulb_C,10
6589,-0.30926604131477214,-0.46667277018226905,1.4084629130372073,1.8715497603187854,0.9598593857839162,-2.800006103515603,-0.46667277018226905,3.0999938964843974,dry_bulb_C,11
6589,0.43955264880608835,0.3999938964843981,1.048272004798642,1.4118798237027248,0.9592827004903032,-1.686672770182268,0.3999938964843981,2.566660563151065,dewpoint_C,11
6589,3.8166341410173543,4.432006011058647,7.315471217791074,9.255384797816331,0.904113865671045,-10.492618593904243,4.432006011058647,16.124652155178076,rh_pct,11
6589,0.021949145783759297,-0.1415812174478931,0.9131125833106888,1.2707276455038337,0.968386171494992,-1.6331400541942034,-0.1415812174478931,2.3456538899740007,wet_bulb_C,11
7266,-0.3890077976421931,-0.5666727701822687,1.4290214437472892,1.963419442905851,0.9467772589864962,-3.0000061035156023,-0.5666727701822687,3.0999938964843974,dry_bulb_C,12
7266,0.5531673855331964,0.4333272298177312,1.0966021150668537,1.5648877280802538,0.9517256793990011,-1.5333394368489355,0.4333272298177312,2.899993896484398,dewpoint_C,12
7266,5.273935941474538,5.5012223720878595,7.798321831686437,9.723911681406296,0.8591701305377387,-8.27972725298443,5.5012223720878595,17.936798454446443,rh_pct,12
7266,0.001281042825771986,-0.17413736979148364,1.0062154592968056,1.4717769395159601,0.9557734482767374,-1.934385172525864,-0.17413736979148364,2.6751953124997705,wet_bulb_C,12
