year,n_hours,n_eia_co2_intensity_consumed,n_fuel_import_proxy,n_both,corr_eia_consumed_vs_fuel_import_proxy,eia_co2_intensity_consumed_mean,fuel_import_proxy_mean,preferred_regional_shape,accounting_note
2015,4408,0,3063,0,,,25.466326824467437,fuel_import_proxy,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2016,8784,0,7056,0,,,54.34944467075828,fuel_import_proxy,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2017,8760,0,8136,0,,,37.0933063789363,fuel_import_proxy,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2018,8760,4384,8760,4384,-0.009935478400971653,0.9439018585205956,454.1799881012174,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2019,8760,8760,8760,8760,0.9281748755992526,0.80797815079057,566.5263996397628,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2020,8784,8784,8784,8784,0.9203432150926979,0.6871654245342241,490.17767330789684,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2021,8760,8760,8760,8760,0.9337676488619348,0.7446239012086425,512.3215550711976,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2022,8760,8760,8760,8760,0.8568154022542664,0.48409642878325576,372.588588530971,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2023,8760,8760,8760,8760,0.6803696330513438,0.29487174847796943,267.86776406006265,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
2024,8784,8784,8784,8784,0.6940267339738807,0.24934445406370215,269.22075168497935,eia_co2_intensity_consumed,"PACW regional physical carbon-shape diagnostic only; not campus electricity and not Meta-specific marginal emissions. The fuel/import score is a named sensitivity proxy, not the default shape when EIA consumed intensity is present."
