plant_id,year,plant_name,reporting_frequency,monthly_generation_basis,campd_gross_generation_mwh,eia923_net_generation_mwh,annual_ratio,annual_difference_mwh,relative_difference,campd_heat_input_mmbtu,eia923_fuel_mmbtu,qc_status,notes
6106,2011,Boardman,M,respondent_monthly,3529099.51,3340090.998,1.0565878331198686,189008.51199999964,0.05658783311986868,32539553.59,33363050,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=32539553.59; EIA-923 annual fuel mmBtu=33363050.
7350,2011,Coyote Springs,M,respondent_monthly,482922.26,693972.0,0.695881476486083,-211049.74,-0.304118523513917,4824675.459,5067116,annual_comparability_warning,"EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is outside the documented 0.85-1.15 envelope. Monthly allocation cannot explain an annual gap. Values were not rescaled; this is a comparability warning, not a correction. CAMPD heat input mmBtu=4824675.459; EIA-923 annual fuel mmBtu=5067116."
7931,2011,Coyote Springs II,M,respondent_monthly,719034.5499999999,705062.0,1.0198174770445718,13972.54999999993,0.019817477044571867,4957788.49,4962799,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=4957788.49; EIA-923 annual fuel mmBtu=4962799.
54761,2011,Hermiston Generating Plant,M,respondent_monthly,1490368.73,2309477.0,0.6453273749857652,-819108.27,-0.35467262501423485,17213359.923,17416473,annual_comparability_warning,"EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is outside the documented 0.85-1.15 envelope. Monthly allocation cannot explain an annual gap. Values were not rescaled; this is a comparability warning, not a correction. CAMPD heat input mmBtu=17213359.923; EIA-923 annual fuel mmBtu=17416473."
55103,2011,Klamath Cogeneration Plant,M,respondent_monthly,2124820.0100000002,2040453.0,1.0413471959412937,84367.01000000024,0.041347195941293546,15052666.530999998,14858713,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=15052666.530999998; EIA-923 annual fuel mmBtu=14858713.
55328,2011,Hermiston Power Partnership,M,respondent_monthly,1187571.09,1155919.0,1.0273826193703886,31652.090000000084,0.02738261937038848,8264325.287,8497893,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=8264325.287; EIA-923 annual fuel mmBtu=8497893.
55544,2011,Klamath Expansion Project,A,eia_allocated_from_annual,29027.5,28442.0,1.0205857534631881,585.5,0.020585753463188243,283176.90499999997,237435,ok,EIA-923 annual respondent (Plant Frame frequency=A). Published monthly Netgen is not a respondent monthly observation; primary CAMPD/EIA-923 generation QC is the annual total. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=283176.90499999997; EIA-923 annual fuel mmBtu=237435.
56227,2011,Port Westward,M,respondent_monthly,1430506.1900000002,1392219.0,1.0275008385893312,38287.19000000018,0.02750083858933126,9718962.195,9686065,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=9718962.195; EIA-923 annual fuel mmBtu=9686065.
6106,2012,Boardman,M,respondent_monthly,2785404.35,2640258.962,1.0549739211528146,145145.38800000027,0.05497392115281466,26175067.445,26587206,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=26175067.445; EIA-923 annual fuel mmBtu=26587206.
7350,2012,Coyote Springs,M,respondent_monthly,858854.85,1127834.0,0.761508209541475,-268979.15,-0.23849179045852495,8246337.1729999995,8280148,annual_comparability_warning,"EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is outside the documented 0.85-1.15 envelope. Monthly allocation cannot explain an annual gap. Values were not rescaled; this is a comparability warning, not a correction. CAMPD heat input mmBtu=8246337.1729999995; EIA-923 annual fuel mmBtu=8280148."
7931,2012,Coyote Springs II,M,respondent_monthly,1154058.1800000002,1142118.0,1.0104544188954208,11940.180000000168,0.01045441889542076,7946313.266,7933186,ok,EIA-923 respondent monthly generation (Plant Frame frequency=M). Monthly CAMPD/EIA-923 comparison remains eligible. Annual CAMPD gross / EIA-923 net is inside the documented 0.85-1.15 envelope (gross vs net plus ordinary reporting noise). Sources were not rescaled. CAMPD heat input mmBtu=7946313.266; EIA-923 annual fuel mmBtu=7933186.
