model,features,n_coefficients,rolling_one_step_mape_pct,coefficients,selected
energy_null,electricity_mwh_reported,1,34.2483644988005,"{""electricity_mwh_reported"": 0.36430561831031194}",True
two_component,electricity_mwh_reported;raw_evap_m3_median,2,46.16147334447843,"{""electricity_mwh_reported"": 0.36430561831031194, ""raw_evap_m3_median"": 0.0}",False
evap_physics,raw_evap_m3_median,1,52.046117041083015,"{""raw_evap_m3_median"": 7.340830412277384}",False
