year,electricity_mwh_reported,electricity_mwh_model_closure,it_energy_mwh_fitted,annual_pue_model,water_raw_m3,water_withdrawal_m3_reported,weather_hour_coverage,water_scale_fitted_train_only,water_pred_m3,water_pct_error,split
2011,71000.0,71000.00000000003,66976.10981817615,1.0600794849498987,1927.731523104253,,1.0,8.246502870880668,15897.043539566386,,train
2012,153000.0,153000.00000000006,144327.04003815347,1.0600924120632824,4977.537231894612,,1.0,8.246502870880668,41047.27507273433,,train
2013,224000.0,224000.0,211297.7461482812,1.0601154251915437,9043.853400249927,,1.0,8.246502870880668,74580.16302898493,,train
2014,262000.0,262000.00000000012,247145.93325094343,1.0601024121808,9382.217017005803,39746.823732,1.0,8.246502870880668,77370.47956596382,94.65827027499854,train
2015,284000.0,284000.00000000006,267893.86197642924,1.0601213402380527,12123.877144282244,70000.0,1.0,8.246502870880668,99979.58767652804,42.82798239504006,train
2016,327000.0,327000.0000000001,308468.9603894411,1.0600742440573716,8412.543390839433,70000.0,1.0,8.246502870880668,69374.06322396558,-0.8941953943348823,train
2017,426000.0,426000.0000000002,401837.83250069345,1.060129150480785,19920.072361019036,172000.0,1.0,8.246502870880668,164270.93391329414,-4.493643073666198,train
2018,488000.0,488000.0,460336.4049508918,1.0600943022354692,17055.005077373884,160000.0,1.0,8.246502870880668,140644.1483334481,-12.097407291594937,train
2019,573000.0,573000.0000000001,540532.486686031,1.0600657945890086,12050.801791664606,208000.0,1.0,8.246502870880668,99376.97157137608,-52.22260982145381,train
2020,686000.0,686000.0000000002,647106.0534168625,1.0601044394157173,25545.6777628513,445000.0,1.0,8.246502870880668,210662.50500994571,-52.660111233720066,train
2021,898409.0,898409.0000000001,847440.3360040546,1.0601442506693493,48823.1934838359,354000.0,1.0,8.246502870880668,402620.6052300151,13.734634245766985,train
2022,982177.0,982177.0,926466.7079408863,1.0601319956579254,48907.990438600325,240000.0,1.0,8.246502870880668,403319.8835609219,68.04995148371745,train
2023,1375321.0,1375320.9999999995,1297345.56183984,1.0601038308171171,49487.46857662905,180000.0,1.0,8.246502870880668,408098.55168978835,126.72141760543798,holdout
2024,1728291.0,1728291.0000000002,1630273.5317798434,1.0601233267359416,79867.39794792347,328000.0,1.0,8.246502870880668,658626.7264673196,100.80083124003647,holdout
