year,reported_non_emergency_nox_tons,partial_estimated_nox_tons_6etc_testing_only,note
2020,18.919999999999998,13.954416000000002,Partial diagnostic only. Not all generators have an approved NOx factor. PSEL/PTE are not actuals. Source tests are separate.
2024,8.25,5.113548000000001,Partial diagnostic only. Not all generators have an approved NOx factor. PSEL/PTE are not actuals. Source tests are separate.
2025,10.22,6.538864000000001,Partial diagnostic only. Not all generators have an approved NOx factor. PSEL/PTE are not actuals. Source tests are separate.
