year_local,month_local,west_net_energy_for_load_mwh,west_net_generation_mwh,west_net_interchange_mwh,west_monthly_peak_mw,west_monthly_minimum_mw,respondent_legal_name,balancing_authority_area_name,company_identifier,filing_id,respondent_code,source_file,timezone,time_convention,provenance,provenance_class,eia_demand_reported_mwh,eia_demand_reported_usable_mwh,eia_demand_reported_usable_n,eia_demand_reported_usable_mean_mw,eia_demand_adjusted_mwh,eia_demand_adjusted_mean_mw,eia_net_generation_reported_mwh,eia_total_interchange_reported_mwh,eia_n_hours,expected_hours,overlap_status,ferc_nel_mean_mw,demand_bias_mwh,demand_pct_diff,demand_raw_reported_pct_diff,generation_bias_mwh,generation_pct_diff,interchange_bias_mwh,interchange_pct_diff,demand_adjusted_pct_diff,comparison_note
2011,11,1774846.0,1689362.0,85484.0,3201.0,1750.0,PacifiCorp - West,PacifiCorp - West,R714229,15453,229,PacificorpWest-229-2011Q4F714_15453.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2465.063888888889,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2011,12,2088561.0,1727747.0,360814.0,3815.0,1774.0,PacifiCorp - West,PacifiCorp - West,R714229,15453,229,PacificorpWest-229-2011Q4F714_15453.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2807.2056451612902,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,1,2020720.0,1982034.0,38686.0,3708.0,1871.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2716.021505376344,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,2,1799637.0,1863414.0,-63777.0,3478.0,1879.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,696,no_eia,2585.685344827586,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,3,1812241.0,1855177.0,-42936.0,3482.0,1712.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2435.8077956989246,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,4,1527539.0,1191616.0,335923.0,3021.0,1378.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2121.5819444444446,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,5,1580646.0,1279836.0,300810.0,2716.0,1478.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2124.5241935483873,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,6,1556486.0,1397721.0,158765.0,2830.0,1496.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2161.786111111111,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,7,1777671.0,1425458.0,352213.0,3351.0,1601.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2389.342741935484,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,8,1854288.0,1487511.0,366777.0,3518.0,1626.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2492.3225806451615,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
