period,n_hours,dx_required_hours,evaporative_hours,mixing_hours,oa_free_hours,mode_counts,mean_dw_all,mean_dw_when_spray,mean_evap_m3_h_per_MW_IT_SCENARIO,p95_evap_m3_h_per_MW_IT_SCENARIO,FACILITY_EFFECTIVE_DELTA_T,absolute_cooling_water_m3,MODEL_CALIBRATED
all_usable_2012_kfqd,4174,0,143,1280,2751,"{""OA_FREE_COOLING"": 2751, ""RETURN_AIR_MIXING"": 1280, ""EVAPORATIVE_COOLING"": 143}",3.4429133164902274e-05,0.00100494546734477,0.006336290341055573,0.0,UNIDENTIFIED,UNIDENTIFIED,NO
JJA_usable,1253,0,133,443,677,"{""OA_FREE_COOLING"": 677, ""RETURN_AIR_MIXING"": 443, ""EVAPORATIVE_COOLING"": 133}",0.00011083909131584706,0.00104422091292298,0.020398674005302157,0.18928452119580477,UNIDENTIFIED,UNIDENTIFIED,NO
