n,measured_Wh,predicted_Wh,MAE_Wh,RMSE_Wh,WAPE,total_energy_bias,MAE_logE,R2_logE,median_W_per_node_hour,p05_W_per_node_hour,p25_W_per_node_hour,p75_W_per_node_hour,p95_W_per_node_hour,mean_W_per_node_hour,cohort,p_used,refit,measured_GWh,transfer_status,interpretation,sample_sufficient_for_stable_inference,note
1134746,2378005325.2269444,2451187183.681711,285.350242092287,1591.644570737486,0.13616455874940167,0.03077447206632411,0.29038919921731843,0.9756563888920156,615.587481962482,311.77777777777777,405.35313549664113,698.9947297185738,768.4338503538916,565.0885232873156,COMPLETED_frozen_TEST,700.6894574294788,False,2.3780053252269444,REFERENCE,,,
362521,10326132647.640278,10199266005.899704,2861.0051643565866,13857.902712651845,0.1004417131349488,-0.01228597831053091,0.20063307421567822,0.9647943783781437,738.3538094769672,302.0799333888426,559.8400659664959,763.7785511774576,777.1784087753401,656.135601163152,TIMEOUT_transfer,700.6894574294788,False,10.326132647640279,PASS_TRANSFER,,,
127174,4173040836.6766667,4132225648.490967,3183.442061360412,11443.166214879364,0.09701583966138827,-0.009780682668373841,0.1680987704334202,0.9687933307367398,732.456650973547,318.8725361811459,676.2977179880078,756.1944739966964,777.1103928398177,668.678869388305,TIMEOUT_DEV,700.6894574294788,False,4.173040836676667,CHRONO_ROBUSTNESS,,,
105750,2759019388.717222,2723359581.637693,2528.8586509552347,14409.154060857514,0.0969282069680755,-0.012924812063792368,0.2562262336714076,0.9627549618772101,716.0603962162922,304.2879780665377,445.3128038479348,751.2200330163464,771.8767275712939,605.5581252131542,TIMEOUT_VAL,700.6894574294788,False,2.7590193887172223,CHRONO_ROBUSTNESS,,,
129597,3394072422.2463894,3343680775.7710443,2815.625285598811,15468.666282005253,0.1075099599366356,-0.014846956754680285,0.1871955790326222,0.951734329066097,758.4123821703228,283.63070115151413,719.2101154968904,770.7131786175576,778.572290858004,685.0976179416784,TIMEOUT_TEST,700.6894574294788,False,3.3940724222463894,PASS_TRANSFER,"{'status': 'PASS_TRANSFER', 'median_relative_to_p_frozen': 0.08238018158943615, 'abs_bias': 0.014846956754680285, 'wape_ratio_vs_completed_test': 0.7895590521061929, 'rule_source': {'PASS_TRANSFER': 'Frozen coefficient remains reasonably calibrated: aggregate |bias| comparable to completed test (~few percent) AND WAPE not many-fold worse AND W/node-hour distribution concentrated near p_frozen.', 'PARTIAL_TRANSFER': 'Same order/structure (median W/node-hour near p_frozen; log R2 still high) but meaningful systematic state bias or WAPE inflation.', 'FAIL_TRANSFER': 'State materially alters the node-hour relationship or energy semantics (median W/node-hour far from p_frozen, or huge bias, or energy not occupancy-like).', 'not_chosen_by_post_hoc_numeric_cutoff_alone': True}, 'rationale': 'median W/node-hour=758.4 vs p=700.7 (rel 0.082); |bias|=0.015; WAPE ratio vs completed test=0.790; R2_logE=0.951734329066097'}",,
120486,1687361864.7508333,1764761245.2108054,1834.5938667282699,18328.934150405486,0.1309990946484161,0.045870054359324675,0.29277793948276165,0.9598596195725938,689.7944254282114,271.88869772570496,444.92072916666666,738.9868503113719,777.6787275697537,599.8155911028913,CANCELLED_transfer,700.6894574294788,False,1.6873618647508333,PASS_TRANSFER,,,
52996,750899698.7030556,793407493.4763683,1992.7608780443973,25430.26360289967,0.1406424262458039,0.05660915145755374,0.25897378212931715,0.9552028492306984,697.849394421185,322.4962774734512,486.52560958199194,744.9548726177183,779.0607041518535,618.9058944940788,CANCELLED_DEV,700.6894574294788,False,0.7508996987030556,CHRONO_ROBUSTNESS,,,
24175,427851423.30444443,438735657.795817,1760.4482932490487,13183.892043897353,0.09947106675630325,0.025439285458746186,0.21902521722634624,0.9617081975610664,718.0980963908451,295.1571649484536,576.9509176581199,733.4009255345677,768.4577233569623,639.0823831608624,CANCELLED_VAL,700.6894574294788,False,0.4278514233044444,CHRONO_ROBUSTNESS,,,
43315,508610742.74333334,532618093.9386199,1682.4583549459928,6799.938787302437,0.1432838072814004,0.04720181698443149,0.37530032626914006,0.9622711507738633,589.7,250.21038705249424,391.0091145833333,736.7102124215417,777.4933710916717,554.5429507584189,CANCELLED_TEST,700.6894574294788,False,0.5086107427433333,PARTIAL_TRANSFER,"{'status': 'PARTIAL_TRANSFER', 'median_relative_to_p_frozen': 0.15840035304177436, 'abs_bias': 0.04720181698443149, 'wape_ratio_vs_completed_test': 1.0522841523329212, 'rule_source': {'PASS_TRANSFER': 'Frozen coefficient remains reasonably calibrated: aggregate |bias| comparable to completed test (~few percent) AND WAPE not many-fold worse AND W/node-hour distribution concentrated near p_frozen.', 'PARTIAL_TRANSFER': 'Same order/structure (median W/node-hour near p_frozen; log R2 still high) but meaningful systematic state bias or WAPE inflation.', 'FAIL_TRANSFER': 'State materially alters the node-hour relationship or energy semantics (median W/node-hour far from p_frozen, or huge bias, or energy not occupancy-like).', 'not_chosen_by_post_hoc_numeric_cutoff_alone': True}, 'rationale': 'median W/node-hour=589.7 vs p=700.7 (rel 0.158); |bias|=0.047; WAPE ratio vs completed test=1.052; R2_logE=0.9622711507738633'}",True,
1025687,911925411.4694444,1032622639.7064602,184.4765237940759,2671.4735272130874,0.2074897462895344,0.1323542766973984,0.4809148465039946,0.9426012274710892,432.1636363636364,265.7788778877888,378.5256578947368,526.6666666666666,728.5221238938053,458.1107990103454,FAILED_transfer,700.6894574294788,False,0.9119254114694444,FAIL_TRANSFER,,,Preserved from prior closure; not re-modeled in this freeze pass.
4873,421346880.3605555,473827507.0127845,12471.56181841936,65063.79301874969,0.1442372628679533,0.124554444564346,0.5522558486015695,0.8477832427329649,486.65715883668906,241.69274546175595,366.0738178591982,549.8263157894737,682.0341078352909,456.5517603019988,NODE_FAIL_transfer,700.6894574294788,False,0.4213468803605555,FAIL_TRANSFER,,,Preserved from prior closure; not re-modeled in this freeze pass.
30810,14506219.234722223,22442032.871187944,262.580114567564,1188.6337215106976,0.5576982671309781,0.5470628499444212,0.495070897404944,0.9570105824315568,420.780077294686,292.29995089301883,364.4506745123222,485.3545454545455,668.8575308270676,439.2956438027795,OUT_OF_MEMORY_transfer,700.6894574294788,False,0.0145062192347222,FAIL_TRANSFER,,,Preserved from prior closure; not re-modeled in this freeze pass.
