station,evidence_class,valid_hours,weather_missing_hours,DX_required_hours,selected_using_dx_outcome,HUMIDIFICATION,OA_FREE,HIGH_RH_MIXING,EVAP_COOLING,MECHANICAL_COOLING,UNRESOLVED,P(HUMIDIFICATION),P(OA_FREE),P(HIGH_RH_MIXING),P(EVAP_COOLING),P(MECHANICAL_COOLING),P(UNRESOLVED)
KFQD,MODEL_REPLAY,1253,955,0,False,0,677,443,133,0,0,0.0,0.5403032721468476,0.35355147645650437,0.10614525139664804,0.0,0.0
KEHO,MODEL_REPLAY,1916,292,0,False,0,1246,496,174,0,0,0.0,0.6503131524008351,0.2588726513569937,0.09081419624217119,0.0,0.0
KGSP,MODEL_REPLAY,2208,0,0,False,0,1416,429,363,0,0,0.0,0.6413043478260869,0.19429347826086957,0.1644021739130435,0.0,0.0
