spatial_fold,n_wells,easting_min_m,easting_max_m,northing_min_m,northing_max_m,n_transitions_total_le_120,n_train_transitions,n_validation_transitions,n_test_transitions,fold_construction_inputs
1,42,398918.789401,408473.862139,3735337.865269,3746617.017254,1273,917,210,146,coordinates_only_EPSG26911
2,70,403187.663604,417444.764705,3724387.493860,3737852.015417,2544,1721,462,361,coordinates_only_EPSG26911
3,62,407171.929746,420489.594339,3736872.797953,3754732.740592,1870,1279,315,276,coordinates_only_EPSG26911
4,60,418588.461479,431178.475799,3725037.134963,3738141.210824,1848,1309,300,239,coordinates_only_EPSG26911
5,34,420763.456366,435789.585063,3739293.328167,3750829.140312,1209,815,175,219,coordinates_only_EPSG26911
