hardware,model,n,MAE,WAPE,a,b,energy_bias_frac
B200,M0_hw_mean,16,1130.4796619927083,0.280181162600296,4034.8168003194446,0.0,1.2823418161165802e-16
B200,M1_util,16,665.2353551633587,0.1648737447288042,-1360.6094564346658,77.01036556425109,1.2823418161165802e-16
H100,M0_hw_mean,16,1024.6257137222224,0.3457117658751184,2963.8149894277776,0.0,-1.7457278277745225e-16
H100,M1_util,16,691.4357993566819,0.23329249694164514,-349.3288835346336,45.44991101685052,0.0
