runtype,n_rows,n_nodes_field,n_identifiers,architecture,source,mean_power_W,mean_tot_power_W,p50_tot_W,max_tot_W,energy_Wh,duration_min,flops_node,yhat_arch_W
BNL_Llama,481,1,1,LLM,BNL,7792.45738045738,7792.45738045738,7918.0,8416.0,62356.216666666674,480.0,3.01644143132672e+16,7932.265920864536
BNL_resnet1,108,1,1,CNN,BNL,4602.081759259259,4602.081759259259,4678.764999999999,5015.67,123411.925,1605.0,354220408163.2651,7127.773631590681
BNL_resnet2,22,1,1,CNN,BNL,5759.300454545454,5759.300454545454,6256.4349999999995,6482.4,30151.635000000002,315.0,2833763265306.12,7190.079786097358
GPT3_175b_64node,108916,64,64,LLM,SMC,6735.855751221125,7666.637001221125,7806.78125,8449.78125,464942.2231453212,56.8574,9.397400093746789e+16,7953.293272970544
LLama_70b_64node,3661,64,64,LLM,SMC,4984.203496312483,5914.984746312483,6626.78125,8763.78125,12103.548910026042,1.93921666666667,2293426636718080.0,7880.214344039206
Llama_70b_1node,847,1,1,LLM,SMC,6782.260920897284,6782.260920897284,7081.0,7316.0,3385.992571388889,30.10075,1.834741309374464e+16,7922.712985044819
Llama_70b_8node,1200,8,8,LLM,SMC,5715.92,7728.42,8001.5,8728.5,5427.715299444444,5.24696666666667,2293426636718080.0,7880.214344039206
resnet_1node,360,1,1,CNN,SMC,6759.794444444445,6759.794444444445,6794.5,6879.0,1505.6746116666668,13.3372333333333,34560000000000.0,7255.559217303655
resnet_8node,1049,8,8,CNN,SMC,4349.979027645377,6362.479027645377,7750.5,7894.5,3747.8305420833335,4.41316666666667,4320000000000.0,7201.7898325392425
